GID_4,NAME_2,NAME_3,NAME_4,pop,builtup,flood,pop_norm,builtup_norm,flood_norm,ASI,stress_tier,city_corp,hh_total,pop_total,hh_size,elec_coverage,hh_size_norm,ASI_updated,corp_spatial
BGD.3.1.24.3_1,Dhaka,Kotwali,Ward No-72,719.3339772676647,0.4866857142857142,0.6670908111974161,0.3727597154517399,0.9092639190624232,0.6670908111974161,0.6341189606518981,Moderate stress,DSCC,7459.0,27574.0,3.7,99.94,0.45999999999999996,0.5698325210456766,DSCC
BGD.3.1.24.4_1,Dhaka,Kotwali,Ward No-73,502.7652146625461,0.3358390348197924,0.9931506849315068,0.2600648723545379,0.6274404775216339,0.9931506849315068,0.5719177873072637,Moderate stress,DSCC,12054.0,46137.0,3.79,99.92,0.5499999999999998,0.5405300557078921,DSCC
BGD.3.1.25.1_1,Dhaka,Lalbagh,Ward No-56 (Part),1253.5221860658871,0.2330702797202797,0.6670908111974161,0.6507326587827104,0.4354399353317064,0.6670908111974161,0.5794697436785354,Moderate stress,,,,,,,0.5794697436785354,DSCC
BGD.3.1.25.2_1,Dhaka,Lalbagh,Ward No-59,713.0949704960507,0.3850956318914333,0.0,0.3695131535711078,0.7194654644452199,0.0,0.3996181739842701,Moderate stress,DSCC,14098.0,57413.0,4.06,99.89,0.8199999999999994,0.4493669100321328,DSCC
BGD.3.1.25.3_1,Dhaka,Lalbagh,Ward No-60,743.4827752297972,0.4798873515745998,0.8181818181818182,0.3853259090458303,0.8965626916779538,0.8181818181818182,0.6724727602510705,Moderate stress,DSCC,27110.0,108822.0,4.02,99.97,0.7799999999999994,0.6559744380552259,DSCC
BGD.3.1.25.4_1,Dhaka,Lalbagh,Ward No-61,1192.0013079874311,0.45029609030837,0.6670908111974161,0.6187193359985046,0.8412780071286625,0.6670908111974161,0.7087077396937878,High stress,DSCC,21680.0,89085.0,4.06,99.96,0.8199999999999994,0.7004603717920656,DSCC
BGD.3.1.25.5_1,Dhaka,Lalbagh,Ward No-62,955.5652256250024,0.3167900898652022,0.7777777777777778,0.4956862314831756,0.5918517642411638,0.7777777777777778,0.599867054522122,Moderate stress,DSCC,23988.0,96852.0,3.97,99.93,0.73,0.6017950024212828,DSCC
BGD.3.1.25.6_1,Dhaka,Lalbagh,Ward No-91,260.5333717998937,0.4235497063142438,0.9519230769230772,0.1340158558842951,0.7913083424818581,0.9519230769230772,0.5685450314531377,Moderate stress,,,,,,,0.5685450314531377,DSCC
BGD.3.1.25.7_1,Dhaka,Lalbagh,Ward No-92,282.2351601705967,0.4104448395217119,0.8292682926829269,0.1453087108923112,0.7668248160729172,0.8292682926829269,0.5338292431531773,Moderate stress,,,,,,,0.5338292431531773,DSCC
BGD.3.1.26.1_1,Dhaka,Mirpur,Ward No-07 (Part),1547.5918076812704,0.3609153916628493,0.0,0.8037562503152774,0.6742900681910247,0.0,0.5575040239929696,Moderate stress,,,,,,,0.5575040239929696,DNCC
BGD.3.1.26.5_1,Dhaka,Mirpur,Ward No-14 (part),1003.3442914954512,0.4400706782106782,0.6670908111974161,0.5205487936866586,0.8221741008395265,0.6670908111974161,0.6627531555678516,High stress,,,,,,,0.6627531555678516,DNCC
BGD.3.1.27.5_1,Dhaka,Mohammadpur,Ward No-47(part),493.9836397321529,0.2586655464106082,0.9805068226120858,0.2554952465367488,0.4832589935394297,0.9805068226120858,0.5164654520065214,Moderate stress,,,,,,,0.5164654520065214,DNCC
BGD.3.1.27.6_1,Dhaka,Mohammadpur,Ward No-51(part),516.481319489771,0.2993770918367346,0.6670908111974161,0.267202255709437,0.5593194536241817,0.6670908111974161,0.4694154138515924,Moderate stress,,,,,,,0.4694154138515924,DSCC
BGD.3.1.29.1_1,Dhaka,Nawabganj,Agla,11.880521958982545,0.0163431142078158,0.2805907172995788,0.0046255709631617,0.0305334708582786,0.2805907172995788,0.0826846225105569,Low stress,,,,,,,0.0826846225105569,
BGD.3.1.29.2_1,Dhaka,Nawabganj,Bakshanagar,20.72755641737968,0.0495301063598871,0.682424916573972,0.0092292596400117,0.092535978144472,0.682424916573972,0.2066855253500629,Low stress,,,,,,,0.2066855253500629,
